country,ISO alpha-3 code,UN_region,UN_subregion,year,record,crop_land,grazing_land,forest_land,fishing_ground,built_up_land,carbon,total,Percapita GDP (2010 USD),population
Aruba,ABW,Latin America and the Caribbean,Caribbean,2014,EFProdPerCap,,,,,,,2.928352422,,103000
Aruba,ABW,Latin America and the Caribbean,Caribbean,2014,EFProdTotGHA,,,,,,,302911.7085,,103000
Belize,BLZ,Latin America and the Caribbean,Central America,2014,BiocapPerCap,0.537233108,0.213426666,2.196911298,1.028453174,0.000562586,0,3.976586831,4415.99,352000
Belize,BLZ,Latin America and the Caribbean,Central America,2014,BiocapTotGHA,188948.1041,75063.43753,772666.8709,361713.1457,197.864733,0,1398589.423,4415.99,352000
Belize,BLZ,Latin America and the Caribbean,Central America,2014,EFConsPerCap,0.412204525,0.209108259,0.349440139,2.139276661,0.000562586,2.083248877,5.193841047,4415.99,352000
Belize,BLZ,Latin America and the Caribbean,Central America,2014,EFConsTotGHA,144974.8021,73544.62797,122900.1912,752396.4237,197.864733,732691.1164,1826705.026,4415.99,352000
Belize,BLZ,Latin America and the Caribbean,Central America,2014,EFExportsPerCap,0.327929792,0.001149319,0.03040703,0.267798155,0,0.361593231,0.988877527,4415.99,352000
Belize,BLZ,Latin America and the Caribbean,Central America,2014,EFExportsTotGHA,115334.8735,404.2224874,10694.3346,94186.21622,0,127174.5064,347794.1532,4415.99,352000
Belize,BLZ,Latin America and the Caribbean,Central America,2014,EFImportsPerCap,0.202901209,0.036905894,0.1596708,0.007707291,0,1.96087306,2.368058254,4415.99,352000
Belize,BLZ,Latin America and the Caribbean,Central America,2014,EFImportsTotGHA,71361.57147,12980.02419,56157.17739,2710.700313,0,689650.8079,832860.2812,4415.99,352000
Belize,BLZ,Latin America and the Caribbean,Central America,2014,EFProdPerCap,0.537233108,0.173351684,0.220176368,2.399367525,0.000562586,0.483969048,3.81466032,4415.99,352000
Belize,BLZ,Latin America and the Caribbean,Central America,2014,EFProdTotGHA,188948.1041,60968.82627,77437.34845,843871.9396,197.864733,170214.815,1341638.898,4415.99,352000
Brunei Darussalam,BRN,Asia,South-Eastern Asia,2014,BiocapPerCap,0.016907585,0.010929711,1.53890609,1.239506187,0.023872434,0,2.830122007,33313.8,417000
Brunei Darussalam,BRN,Asia,South-Eastern Asia,2014,BiocapTotGHA,7057.124832,4561.996108,642330.1875,517362.4609,9964.210911,0,1181275.98,33313.8,417000
Brunei Darussalam,BRN,Asia,South-Eastern Asia,2014,EFConsPerCap,0.430962833,0.292903744,0.239123139,0.200700969,0.023872434,4.357838487,5.545401604,33313.8,417000
Brunei Darussalam,BRN,Asia,South-Eastern Asia,2014,EFConsTotGHA,179881.306,122256.2689,99808.56628,83771.38255,9964.210911,1818935.692,2314617.426,33313.8,417000
Brunei Darussalam,BRN,Asia,South-Eastern Asia,2014,EFExportsPerCap,0.014952979,0.003308083,0.007613033,0.025228069,0,3.383933804,3.435035968,33313.8,417000
Brunei Darussalam,BRN,Asia,South-Eastern Asia,2014,EFExportsTotGHA,6241.283768,1380.774201,3177.634494,10530.04507,0,1412433.708,1433763.446,33313.8,417000
Brunei Darussalam,BRN,Asia,South-Eastern Asia,2014,EFImportsPerCap,0.429008226,0.285282116,0.054165683,0.215105266,0,2.13709128,3.120652571,33313.8,417000
Brunei Darussalam,BRN,Asia,South-Eastern Asia,2014,EFImportsTotGHA,179065.465,119075.047,22608.43196,89783.64992,0,892009.1042,1302541.698,33313.8,417000
Brunei Darussalam,BRN,Asia,South-Eastern Asia,2014,EFProdPerCap,0.016907585,0.010929711,0.192570488,0.010823772,0.023872434,5.604681011,5.859785002,33313.8,417000
Brunei Darussalam,BRN,Asia,South-Eastern Asia,2014,EFProdTotGHA,7057.124832,4561.996108,80377.76881,4517.777691,9964.210911,2339360.296,2445839.174,33313.8,417000
Bulgaria,BGR,Europe,Eastern Europe,2014,BiocapPerCap,1.775250054,0.066787269,1.212419976,0.121231012,0.160412924,0,3.336101235,7299.55,7201000
Bulgaria,BGR,Europe,Eastern Europe,2014,BiocapTotGHA,12784126.07,480955.8312,8731012.166,873022.1062,1155183.202,0,24024299.38,7299.55,7201000
Bulgaria,BGR,Europe,Eastern Europe,2014,EFConsPerCap,0.607608583,0.133261654,0.288581611,0.030747683,0.160412924,1.948920798,3.169533252,7299.55,7201000
Bulgaria,BGR,Europe,Eastern Europe,2014,EFConsTotGHA,4375577.8,959658.4877,2078165.655,221423.5978,1155183.202,14034782.95,22824791.69,7299.55,7201000
Bulgaria,BGR,Europe,Eastern Europe,2014,EFExportsPerCap,1.433105196,0.025237233,0.309528069,0.012378944,0,1.537855911,3.318105353,7299.55,7201000
Bulgaria,BGR,Europe,Eastern Europe,2014,EFExportsTotGHA,10320234.87,181741.1419,2229007.595,89144.61371,0,11074577.24,23894705.45,7299.55,7201000
Bulgaria,BGR,Europe,Eastern Europe,2014,EFImportsPerCap,0.265463725,0.091711618,0.16461744,0.04032438,0,1.311172961,1.873290124,7299.55,7201000
Bulgaria,BGR,Europe,Eastern Europe,2014,EFImportsTotGHA,1911686.594,660443.7984,1185461.227,290388.3602,0,9442163.03,13490143.01,7299.55,7201000
Bulgaria,BGR,Europe,Eastern Europe,2014,EFProdPerCap,1.775250054,0.066787269,0.433492239,0.002802247,0.160412924,2.175603748,4.614348482,7299.55,7201000
Bulgaria,BGR,Europe,Eastern Europe,2014,EFProdTotGHA,12784126.07,480955.8312,3121712.023,20179.8513,1155183.202,15667197.16,33229354.14,7299.55,7201000
Myanmar,MMR,Asia,South-Eastern Asia,2014,BiocapPerCap,0.943368628,0.004774114,0.530353597,0.284100662,0.119043048,0,1.881640049,1266.12,53437000
Myanmar,MMR,Asia,South-Eastern Asia,2014,BiocapTotGHA,50410977.33,255115.2584,28340610.81,15181543.69,6361327.069,0,100549574.2,1266.12,53437000
Myanmar,MMR,Asia,South-Eastern Asia,2014,EFConsPerCap,0.860316638,0.005477577,0.331934638,0.051331445,0.119043048,0.180574439,1.548677784,1266.12,53437000
Myanmar,MMR,Asia,South-Eastern Asia,2014,EFConsTotGHA,45972911.59,292706.3788,17737657.35,2743008.646,6361327.069,9649392.249,82757003.29,1266.12,53437000
Myanmar,MMR,Asia,South-Eastern Asia,2014,EFExportsPerCap,0.103292416,0.000147842,0.035827638,0.010842707,0,0.016580722,0.166691324,1266.12,53437000
Myanmar,MMR,Asia,South-Eastern Asia,2014,EFExportsTotGHA,5519657.43,7900.265318,1914528.623,579403.8677,0,886027.3279,8907517.514,1266.12,53437000
Myanmar,MMR,Asia,South-Eastern Asia,2014,EFImportsPerCap,0.020240426,0.000851306,0.012918679,0.001233962,0,0.067098432,0.102342805,1266.12,53437000
Myanmar,MMR,Asia,South-Eastern Asia,2014,EFImportsTotGHA,1081591.694,45491.38569,690338.0321,65939.45336,0,3585552.268,5468912.834,1266.12,53437000
Myanmar,MMR,Asia,South-Eastern Asia,2014,EFProdPerCap,0.943368628,0.004774114,0.354843596,0.06094019,0.119043048,0.130056728,1.613026304,1266.12,53437000
Myanmar,MMR,Asia,South-Eastern Asia,2014,EFProdTotGHA,50410977.33,255115.2584,18961847.94,3256473.06,6361327.069,6949867.308,86195607.97,1266.12,53437000
Burundi,BDI,Africa,Eastern Africa,2014,BiocapPerCap,0.212892808,0.060671284,0.008633238,0.007308351,0.034468994,0,0.323974676,243.102,10817000
Burundi,BDI,Africa,Eastern Africa,2014,BiocapTotGHA,2302840.294,656275.2405,93384.88,79053.70648,372847.6732,0,3504401.795,243.102,10817000
Burundi,BDI,Africa,Eastern Africa,2014,EFConsPerCap,0.220514959,0.061407892,0.254927308,0.003382923,0.034468994,0.030091943,0.604794019,243.102,10817000
Burundi,BDI,Africa,Eastern Africa,2014,EFConsTotGHA,2385288.351,664243.0493,2757523.298,36592.74355,372847.6732,325501.549,6541996.663,243.102,10817000
Burundi,BDI,Africa,Eastern Africa,2014,EFExportsPerCap,0.006337127,9.18E-05,0.000268145,2.11E-05,0,0.003361173,0.010079283,243.102,10817000
Burundi,BDI,Africa,Eastern Africa,2014,EFExportsTotGHA,68548.07139,992.7809403,2900.492404,227.7819223,0,36357.46844,109026.5951,243.102,10817000
Burundi,BDI,Africa,Eastern Africa,2014,EFImportsPerCap,0.013959279,0.000828388,0.001129056,0.002034959,0,0.019465554,0.037417236,243.102,10817000
Burundi,BDI,Africa,Eastern Africa,2014,EFImportsTotGHA,150996.1278,8960.589708,12212.88822,22011.94863,0,210556.9597,404738.514,243.102,10817000
Burundi,BDI,Africa,Eastern Africa,2014,EFProdPerCap,0.212892808,0.060671284,0.254066396,0.001369022,0.034468994,0.013987561,0.577456066,243.102,10817000
Burundi,BDI,Africa,Eastern Africa,2014,EFProdTotGHA,2302840.294,656275.2405,2748210.902,14808.57685,372847.6732,151302.0578,6246284.744,243.102,10817000
Cameroon,CMR,Africa,Middle Africa,2014,BiocapPerCap,0.603036548,0.091767152,0.847776623,0.0744276,0.060076215,0,1.677084138,1428.22,22773000
Cameroon,CMR,Africa,Middle Africa,2014,BiocapTotGHA,13732951.3,2089813.362,19306417.03,1694939.735,1368115.639,0,38192237.07,1428.22,22773000
Cameroon,CMR,Africa,Middle Africa,2014,EFConsPerCap,0.600418954,0.097241571,0.229636099,0.082567763,0.060076215,0.204179565,1.274120167,1428.22,22773000
Cameroon,CMR,Africa,Middle Africa,2014,EFConsTotGHA,13673340.83,2214482.302,5229502.881,1880315.672,1368115.639,4649781.23,29015538.56,1428.22,22773000
Cameroon,CMR,Africa,Middle Africa,2014,EFExportsPerCap,0.076925055,0.00046176,0.051173171,0.000746315,0,0.032345538,0.161651838,1428.22,22773000
Cameroon,CMR,Africa,Middle Africa,2014,EFExportsTotGHA,1751814.269,10515.65284,1165366.617,16995.83044,0,736604.9389,3681297.308,1428.22,22773000
Cameroon,CMR,Africa,Middle Africa,2014,EFImportsPerCap,0.07430746,0.005936179,0.006733245,0.068805081,0,0.143,0.298781964,1428.22,22773000
Cameroon,CMR,Africa,Middle Africa,2014,EFImportsTotGHA,1692203.796,135184.5931,153336.1786,1566898.1,0,3256539.004,6804161.672,1428.22,22773000
Cameroon,CMR,Africa,Middle Africa,2014,EFProdPerCap,0.603036548,0.091767152,0.274076025,0.014508998,0.060076215,0.093525103,1.13699004,1428.22,22773000
Cameroon,CMR,Africa,Middle Africa,2014,EFProdTotGHA,13732951.3,2089813.362,6241533.319,330413.4027,1368115.639,2129847.165,25892674.19,1428.22,22773000
Canada,CAN,North America,North America,2014,BiocapPerCap,2.680989815,0.287491787,8.849942308,3.368667392,0.062374002,0,15.2494653,50067,35588000
Canada,CAN,North America,North America,2014,BiocapTotGHA,95410531.42,10231200.43,314949983.8,119883464.1,2219753.561,0,542694933.2,50067,35588000
